Hot Peppers,,,
Ingredients,,,
Manufacturers,,,
Recipes,,,
Cultivars,,,
Reviews,,,
Flavors,,,
Ingredient Common Name ↕,Recipe Usage Count ↕,Ingredient Type ↕,Origin
Carrot Concentrate,2,Vegetable,
Carrot Juice,2,Vegetable,
Carrot Powder,1,Vegetable,
Carrot Puree,2,Vegetable,
Cashews,1,Nut,
Castor Sugar,1,Sugar,South Asia
Cayenne Pepper Sauce,5,"Sauce, Spice",
Cayenne Sauce,3,"Sauce, Spice",
Celery,23,Vegetable,Southeast Europe
Celery Powder,5,"Spice, Vegetable",Southeast Europe
Celery Salt,2,"Salt, Spice, Vegetable",
Celery Seed,14,"Spice, Vegetable",Southeast Europe
Cellulose Gum,1,Thickening Agent,
Certified Food Color,1,Food Coloring,
Chayote,1,Vegetable,
Cherries (Red),1,Fruit,Central Asia
Cherry Tomato,0,Vegetable,Andes
Chia Seed,3,"Spice, Thickening Agent",Tropical South America
Chia Seed Powder,2,Thickening Agent,Tropical South America
Chicken Base,1,Flavors & Flavor Enhancer,
Chicken Fat,2,Oil,
Chicken Flavor Powder,1,Flavors & Flavor Enhancer,
Chicken Flavor Powder (Artificial),1,Flavors & Flavor Enhancer,
Chile Sauce,4,"Sauce, Spice",
Chili Garlic Sauce,1,"Allium Vegetable, Sauce",West Asia
Chipotle Pepper Sauce,1,"Sauce, Spice",
Chive,5,Allium Vegetable,East Asia
Chive (Dried),3,Allium Vegetable,East Asia
Chive Powder,1,"Allium Vegetable, Spice",East Asia
Cider Vinegar,10,Vinegar,West Asia
Cilantro,77,Herb,South & East Mediterranean
Cilantro (2 Percent),1,Herb,South & East Mediterranean
Cilantro (Dried),1,Herb,South & East Mediterranean
Cinnamon,29,Spice,Pacific Region
Cinnamon (Ground),2,Spice,Pacific Region
Cinnamon Whiskey,1,Alcohol,Northwest Europe
Citric Acid,135,"Antioxidant, Flavors & Flavor Enhancer, Preservatives",
Citrus,5,Fruit,Southeast Asia
Citrus Fiber,2,Thickening Agent,
Citrus Juice,6,Fruit,Southeast Asia
Clam Juice,12,"Flavors & Flavor Enhancer, Spice",
Clam Juice (Ocean),2,"Flavors & Flavor Enhancer, Spice",
Clear Gell,1,Thickening Agent,
Clear Shoyu,1,"Salt, Sauce",
Clove Powder,1,Spice,Southeast Asia
Clover Honey,2,Sugar,Southeast Asia
Cloves,23,Spice,Southeast Asia
Cloves (Ground),2,Spice,Southeast Asia
Coarse Salt,1,Salt,
Cocoa,3,"Flavors & Flavor Enhancer, Fruit",Central America
Coconut,1,Fruit,Pacific Region
Coconut (Toasted),1,Fruit,Pacific Region
Coconut Cream,1,"Fruit, Nut",Pacific Region
Coconut Cream (Organic),1,"Fruit, Nut",Pacific Region
Coconut Flakes,1,Fruit,Pacific Region
Coconut Milk,4,Fruit,Pacific Region
Coconut Nectar,2,Fruit,Pacific Region
Coconut Oil,3,Oil,Pacific Region
Coconut Oil (Fractionated),1,Oil,Pacific Region
Coconut Palm Sugar,3,Sugar,Pacific Region
Coconut Sugar,2,Sugar,Pacific Region
Coffee,2,Spice,East Africa
Concentrated Flavor Extract,1,Flavors & Flavor Enhancer,
Confectioners White Wax Glaze,1,Food Glaze,
Cooked Yellow Onions,0,Allium Vegetable,South Asia
Coriander,32,Spice,South & East Mediterranean
Coriander Seed,3,Spice,South & East Mediterranean
Corn,6,Vegetable,Central America
Corn Flour,1,"Firming Agents, Vegetable",Central America
Corn Oil,3,Oil,Central America
Corn Protein,2,"Firming Agents, Vegetable",Central America
Corn Starch,42,"Firming Agents, Vegetable",Central America
Corn Sugar,7,Sugar,Central America
Corn Syrup,65,Syrup,Central America
Corn Syrup (Light),1,Syrup,Central America
Corn Vinegar,7,Vinegar,Central America
Cornmeal,1,Thickening Agent,
Cottonseed,1,Spice,Central America
Cranberries,3,Fruit,North America
Cream Mustard,1,"Sauce, Spice",South & East Mediterranean
Creole Spices,4,Spice,
Crushed Pineapple,2,Fruit,Tropical South America
Cucumber,17,Vegetable,Southeast Asia
Culantro,2,Herb,
Cultured Dextrose,1,Preservatives,
Cumin,84,Spice,
Cumin (Toasted),1,Herb,
Cured Anchovies With Salt,1,Oily Fish,
Curry,5,Spice,South Asia
Curry Paste,2,Spice,South Asia
Curry Powder,11,Spice,South Asia
Curry Spices,1,Spice,South Asia
Daikon,1,Vegetable,East Asia
Dark Rum,1,Alcohol,Carribean
Date,6,Fruit,South Asia
Dehydrated Butter,1,Dairy Products,
Dehydrated Carrots,5,Vegetable,
Dehydrated Cheese Blend,1,Dairy Products,
Dehydrated Garlic,15,Allium Vegetable,West Asia
Dehydrated Onion,17,Allium Vegetable,South Asia
Dehydrated Tomato,4,Vegetable,Andes
Dehydrated Vegetable Powder,1,Vegetable,
Dehydrated Vegetables,5,Vegetable,
Dextrose,11,Sugar,
Diced Tomatoes,14,Vegetable,Andes
Diced Yellow Onion,1,Allium Vegetable,South Asia
Diglycerides,2,Firming Agents,
Dijon Mustard (Whole Grain),1,"Sauce, Spice",South & East Mediterranean
Dill,6,Herb,West Asia
Dill Oil,1,Oil,West Asia
Dill Seed,2,Spice,West Asia
Dipotassium Phosphate,1,Firming Agents,
Disodium,1,Acid Regulator,
Disodium 5'-Ribonucleotides,1,Flavors & Flavor Enhancer,
Disodium Guanylate,2,Flavors & Flavor Enhancer,
Disodium Inosinate,2,Flavors & Flavor Enhancer,
Distilled Vinegar,287,Vinegar,West Asia
Distilled Vinegar (Organic),12,Vinegar,West Asia
Distilled Vinegar (White),29,Vinegar,West Asia
Distilled Water,3,Solvent,
Domestic Spices,2,Spice,
Dragon Fruit (Pitaya),1,Fruit,Central America
Dried Cherries,1,Fruit,Central Asia
Dried Garlic,16,Allium Vegetable,West Asia
Dried Onion,10,Allium Vegetable,South Asia
Dry Mustard,5,Spice,South & East Mediterranean
Edta,2,"Preservatives, Thickening Agent",
Erythorbic Acid,3,Antioxidant,
Espresso Beans,1,Spice,Southwest Europe
Exotic Spices,1,Spice,
Extra Virgin Olive Oil,13,Oil,Southeast Europe
Extra Virgin Olive Oil (Organic),2,Oil,Southeast Europe
Extractives Of Paprika,6,Spice,Central America
Extractives Of Turmeric,1,Spice,South Asia
Family Secret Spices,1,Spice,
Fd&C Blue #1,2,Food Coloring,
Fd&C Red 40,4,Food Coloring,
Fd&C Yellow 5,2,Food Coloring,
Fennel Seed,2,Spice,Southeast Europe
Fenugreek,1,Flavors & Flavor Enhancer,Southeast Europe
Fenugreek Seed,1,Flavors & Flavor Enhancer,Southeast Europe
Fig Concentrate,1,Fruit,South Asia
Figs (Dried),1,Fruit,South Asia
Filtered Water,4,Solvent,
Fish,0,Oily Fish,
Fish Sauce,3,Sauce,East Asia
Flour,2,"Firming Agents, Thickening Agent",
Food Acid,3,"Antioxidant, Flavors & Flavor Enhancer, Preservatives",
Food Coloring (Red),1,Food Coloring,
Food Coloring (Yellow),1,Food Coloring,
Food Starch,3,Thickening Agent,
Fresh Brewed Coffee,1,Spice,East Africa
Fresh Carrots,32,Vegetable,
Fresh Chopped Onions,2,Allium Vegetable,South Asia
Fresh Garlic,32,Allium Vegetable,West Asia
Fresh Garlic With Oil,2,"Allium Vegetable, Oil",West Asia
Fresh Herbs,4,Herb,
Fresh Onion,23,Allium Vegetable,South Asia
Fresh Pickle Relish,1,Vegetable,
Fresh Roasted Garlic,2,Allium Vegetable,West Asia
Freshest Ground Spices,1,Spice,
Fructose,4,Sugar,
Fruit,2,Fruit,
Fruit Blend,1,Fruit,
Fruit Pectin,2,"Firming Agents, Thickening Agent",
Garam Masala,1,Spice,South Asia
Garlic (15 Percent),1,Allium Vegetable,West Asia
Garlic (Black),1,Allium Vegetable,West Asia
Garlic (Chopped),2,Allium Vegetable,West Asia
Garlic (Crushed),1,Allium Vegetable,West Asia
Garlic (Dehydrated),5,Allium Vegetable,West Asia
Garlic (Generic),854,Allium Vegetable,West Asia
Garlic (Organic),7,Allium Vegetable,West Asia
Garlic (Smashed),5,Allium Vegetable,West Asia
Garlic (Smoked),3,Allium Vegetable,West Asia
Garlic Chives,1,Allium Vegetable,West Asia
Garlic Clove,7,Allium Vegetable,West Asia
Garlic Flakes,2,Allium Vegetable,West Asia
Garlic In Water,6,Allium Vegetable,West Asia
Garlic Juice,1,Allium Vegetable,West Asia
Garlic Oil,2,Allium Vegetable,West Asia
Garlic Powder,145,"Allium Vegetable, Spice",West Asia
Garlic Pulp,5,Allium Vegetable,West Asia
Garlic Puree,4,Allium Vegetable,West Asia
Garlic Salt,2,"Allium Vegetable, Salt, Spice",West Asia
Garlic Scapes,7,Allium Vegetable,West Asia
Gator Sauce,1,"Sauce, Spice",North America
Gelatin,1,Humectant,
Gentiana Root,1,Flavors & Flavor Enhancer,
Ginger,89,Vegetable,South Asia
Ginger (Extract),3,Vegetable,South Asia
Ginger (Ground),3,Vegetable,South Asia
Ginger Puree,1,Vegetable,South Asia
Ginger Root,23,Vegetable,South Asia
Ginseng,2,Vegetable,East Asia
Glucose,6,Vegetable,
Gluten,1,"Firming Agents, Thickening Agent",
Gluten (Wheat),1,"Firming Agents, Thickening Agent",
Glycerine,1,"Preservatives, Sugar",
Gochujang Sauce,1,"Sauce, Spice",East Asia
Goji Berries,5,Fruit,East Asia
Gooseberry,1,Fruit,Northeast Europe
Gosling's Black Seal Rum,1,Alcohol,Carribean
Grain Vinegar,1,Vinegar,West Asia
Grains Of Paradise,1,Spice,
Granulated Celery,1,"Spice, Vegetable",Southeast Europe
Granulated Garlic,31,"Allium Vegetable, Spice",West Asia
Granulated Onion,12,"Allium Vegetable, Spice",South Asia
Granulated Sugar,0,Sugar,
Grape Juice,2,Fruit,North America
Grape Juice (Concentrate),1,Fruit,North America
Grape Seed Oil,1,Oil,East Asia
Grapefruit Juice,2,Fruit,Southeast Asia
Grapefruit Pulp,1,Fruit,Southeast Asia
Grappa,1,Alcohol,Southwest Europe
Green Olives,1,Vegetable,Southeast Europe
Green Papaya,1,Fruit,Central America
Green Tea Leaf,1,Spice,Southeast Asia
Groovily Grown Aloha,1,"Thickening Agent, Vegetable",
Ground Coffee,1,Spice,East Africa
Ground Mustard,1,Spice,South & East Mediterranean
Ground Pepper,0,Spice,
Ground Yellow Mustard Seed,1,Spice,South & East Mediterranean
Guar Gum,8,Thickening Agent,South Asia
Guava,8,Fruit,Andes
Guava Juice,3,Fruit,Andes
Guava Nectar,2,Fruit,Andes
Gum,2,Thickening Agent,
Gum Arabic,1,Thickening Agent,
Gum Blend,4,Thickening Agent,
Hard Cider,1,Alcohol,
Hawaiian Limes,1,Fruit,North America
Hawaiian Sea Salt,2,Salt,North America
Heirloom Tomato,0,Vegetable,Andes
Herbs (Generic),27,Herb,
Hibiscus,1,Herb,
Hickory Smoke Flavor (2 Percent),1,Flavors & Flavor Enhancer,
Hickory Smoke Flavoring,2,Flavors & Flavor Enhancer,
Hickory Smoked Natural Hickory Seasoning,1,Spice,
High Fructose Corn Syrup,23,Syrup,Central America
Himalayan Salt,3,Salt,South Asia
Himalayan Salt (Pink),6,Salt,South Asia
Hing Powder,1,"Fruit, Salt, Spice",West Asia
Honey,118,Sugar,Southwest Europe
Honey (Granulated),2,Sweeteners,Southwest Europe
Honey Mustard,2,"Sauce, Spice",South & East Mediterranean
Horseradish,15,Spice,Northeast Europe
Horseradish (Powder),2,Spice,Northeast Europe
Horseradish Root,1,Spice,Southwest Europe
Hot Chili Pepper Sauce,4,"Sauce, Spice",
Hot Sauce,21,"Sauce, Spice",
Hot Sauce (Dried),5,Spice,
Hot Sauce Powder,1,Spice,
Hydrogenated Soybean Oil,10,Oil,East Asia
Hydrolyzed Soy Protein,3,Vegetable,
Hydrolyzed Soybean,1,"Flavors & Flavor Enhancer, Spice",East Asia
Hydrolyzed Vegetable Protein,1,"Flavors & Flavor Enhancer, Spice",
Infused Bourbon,2,Alcohol,North America
Irish Whiskey,3,Alcohol,Northwest Europe
Italian Balsamic Vinegar,1,Vinegar,West Asia
Italian Seasoning,1,Spice,Southwest Europe
Italian Tomato,1,Vegetable,Southwest Europe
Jack Daniel's Black Label Whiskey,15,Alcohol,North America
Jack Daniel's Whiskey,3,Alcohol,North America
Jamaican Style Curry Powder,1,Spice,Carribean
Jerk Seasoning,1,Spice,Carribean
Jerk Spice,1,Spice,Carribean
Jim Beam Black Label Bourbon,1,Alcohol,North America
Juniper Berries,1,Fruit,South & East Mediterranean
Kentucky Bourbon,8,Alcohol,North America
Ketchup,22,"Sauce, Vegetable",Northwest Europe
Key Lime Juice,30,Fruit,North America
Kingaroy Peanuts,1,Nut,
Kiwi,1,Fruit,East Asia
Kiwifruit,4,Fruit,East Asia
Kosher Salt,29,Salt,
Lactic Acid,4,"Curing Agent, Flavors & Flavor Enhancer, Preservatives",
Lager Beer,1,Alcohol,Northwest Europe
Lavender,1,Herb,Southeast Europe
Lavender (Dried),1,Herb,Southeast Europe
Lecithin,3,"Firming Agents, Thickening Agent",Southwest Europe
Lemon,12,Fruit,East Asia
Lemon Extract,30,Fruit,East Asia
Lemon Juice,131,Fruit,East Asia
Lemon Juice (Concentrate),19,Fruit,East Asia
Lemon Juice Powder,2,Fruit,East Asia
Lemon Oil,13,Oil,East Asia
Lemon Peel,4,Fruit,East Asia
Lemon Powder,4,Fruit,East Asia
Lemon Sea Salt,1,"Fruit, Salt, Spice",South & East Mediterranean
Lemon Zest,2,Fruit,East Asia
Lemongrass,2,Herb,Southeast Asia
Lettuce,1,Vegetable,Northeast Europe
Lime,19,Fruit,East Asia
Lime (Concentrate),1,Fruit,East Asia
Lime (Dried),1,Fruit,East Asia
Lime Juice,215,Fruit,East Asia
Lime Juice (5 Percent),1,Fruit,East Asia
Lime Juice (Concentrate),25,Fruit,East Asia
Lime Juice (Organic),3,Fruit,East Asia
Lime Oil,1,Oil,East Asia
Lime Zest,3,Fruit,East Asia
Lipolyzed Butter Oil,1,"Dairy Products, Oil",
Liquid Aminos,1,Flavors & Flavor Enhancer,
Liquid Butter,1,Dairy Products,
Liquid Hickory Smoke,1,Flavors & Flavor Enhancer,
Liquid Margarine,1,Oil,
Liquid Smoke,19,Flavors & Flavor Enhancer,
Louisiana Cane Syrup,2,Syrup,North America
Louisiana Pepper Sauce,1,"Sauce, Spice",North America
Louisiana Style Hot Sauce,2,"Sauce, Spice",North America
Lycopene,1,Food Coloring,
Mace,2,Spice,Southeast Asia
Malic Acid,7,Acidulant,
Malt Syrup,1,Syrup,
Malt Vinegar,5,Vinegar,West Asia
Malt Whisky,1,Alcohol,Northwest Europe
Maltodextrin,16,"Firming Agents, Flavors & Flavor Enhancer",
Mandarin Orange,24,Fruit,East Asia
Mango,62,Fruit,Southeast Asia
Mango (Green),2,Fruit,Southeast Asia
Mango Juice,1,Fruit,Southeast Asia
Mango Pulp,3,Fruit,Southeast Asia
Mango Puree,6,Fruit,South Asia
Mango Vinegar,1,Vinegar,Southeast Asia
Manuka Honey,1,Sugar,Australia
Maple Smoked Onions,1,Allium Vegetable,South Asia
Maple Syrup,9,Syrup,North America
Margarine,3,Oil,
Marjoram,8,Herb,West Asia
Masa Flour,3,Thickening Agent,
Mayonnaise,1,"Oil, Vinegar",Southwest Europe
Medium Blue Agave,2,Sugar,Central America
Melon (Generic),1,Fruit,Pacific Region
Mesquite Smoke Powder,1,Spice,
Mexican Chocolate,1,"Fruit, Sugar",Central America
Mexican Tequila,1,Alcohol,Central America
Mezcal,1,Alcohol,Central America
Microcrystalline Cellulose,1,"Anti-caking Agents, Firming Agents",
Milk,1,Dairy Products,West Asia
Milk (Cultured Nonfat),1,Dairy Products,West Asia
Minced Garlic,18,Allium Vegetable,West Asia
Minced Onions,13,Allium Vegetable,South Asia
Mint,2,Herb,
Miso (Paste),1,"Salt, Vegetable",
Miso (Red),2,"Salt, Vegetable",
Miso (White),1,"Salt, Vegetable",
Modified Corn Starch,13,Thickening Agent,Central America
Modified Food Starch,19,Thickening Agent,
Modified Starch,1,Thickening Agent,
Molasses,98,Sugar,Southwest Europe
Molasses (Unsulphuered),1,Sugar,Southwest Europe
Mono Diglycerides,1,Firming Agents,
Monosodium Glutamate,12,Flavors & Flavor Enhancer,
Monosodium L-Glutamate,1,Flavors & Flavor Enhancer,
Mushroom (Black Trumpet - Organic),1,Mushroom,North America
Mushroom (Cremini),1,Mushroom,Southwest Europe
Mushroom (Lion's Mane),1,Mushroom,
Mushroom (Porcini - Dried),2,Mushroom,
Mushroom (Shiitake - Dried),2,Mushroom,East Asia
Mustard (Brown),1,"Sauce, Spice",South & East Mediterranean
Mustard (Dijon),3,"Sauce, Spice",South & East Mediterranean
Mustard (Generic),83,"Sauce, Spice",South & East Mediterranean
Mustard (Yellow Deli),1,"Sauce, Spice",South & East Mediterranean
Mustard Flavor,1,Flavors & Flavor Enhancer,South & East Mediterranean
Mustard Flour,6,Spice,South & East Mediterranean
Mustard Oil,2,Oil,South & East Mediterranean
Mustard Powder,19,Spice,South & East Mediterranean
Mustard Seed,38,Spice,South & East Mediterranean
N'Awlins Cajun,1,Spice,North America
Natural Apple Smoke Flavor,2,Flavors & Flavor Enhancer,
Natural Applewood Smoke Flavoring,3,Flavors & Flavor Enhancer,
Natural Butter Flavoring,9,Flavors & Flavor Enhancer,
Natural Cherry Smoke Flavor,1,Flavors & Flavor Enhancer,
Natural Color,2,Food Coloring,
Natural Coloring,1,Food Coloring,
Natural Dehydrated Pineapple Juice,1,Fruit,Tropical South America
Natural Flavor (Lemon),2,Flavors & Flavor Enhancer,
Natural Flavor (Less Than 2%),1,Flavors & Flavor Enhancer,
Natural Flavor (Organic),1,Flavors & Flavor Enhancer,
Natural Flavorings,9,Flavors & Flavor Enhancer,
Natural Flavors (Generic),116,Flavors & Flavor Enhancer,
Natural Garlic Flavor,3,Flavors & Flavor Enhancer,West Asia
Natural Gum,9,Thickening Agent,
Natural Herbs,3,Herb,
Natural Hickory Flavoring,6,Flavors & Flavor Enhancer,
Natural Hickory Seasoning,2,Spice,
Natural Hickory Smoke (Concentrate),4,Flavors & Flavor Enhancer,
Natural Hickory Smoke Flavor,20,Flavors & Flavor Enhancer,
Natural Lime Flavor,2,Flavors & Flavor Enhancer,
Natural Mesquite Flavor,1,Flavors & Flavor Enhancer,
Natural Mesquite Smoke Flavor,3,Flavors & Flavor Enhancer,
Natural Pineapple Flavor,1,Flavors & Flavor Enhancer,Tropical South America
Natural Smoke Flavor,19,Flavors & Flavor Enhancer,
Natural Spice Extractives,9,Spice,
Natural Sugar,7,Sugar,
Natural Thickener,3,Firming Agents,
Naturally Brewed Soy Sauce,1,Sauce,East Asia
Naturally Brewed Vinegar,1,Vinegar,West Asia
Naturally Gluten Free,3,,
Nopal/Prickly Pears,2,Fruit,Andes
Nopalito Cactus,1,"Fruit, Sugar, Vegetable",
Nugget Hops,1,Spice,East Asia
Nutmeg,7,Spice,Southeast Asia
Oak Aged Apple Cider Vinegar,1,Vinegar,West Asia
Oat Bran,1,Thickening Agent,Northeast Europe
Oil Of Capsaicin,1,Oil,
Okra,1,Vegetable,Southeast Asia
Old Tom Gin,1,Alcohol,Southwest Europe
Oleoresin Sauteed Garlic,1,Allium Vegetable,West Asia
Oleoresin Sauteed Onion,1,Allium Vegetable,South Asia
Olive Oil,28,Oil,Southeast Europe
Olives,3,Vegetable,Southeast Europe
Olives (Dried),1,Vegetable,Southeast Europe
Onion (Generic),599,Allium Vegetable,South Asia
Onion (Green),4,Allium Vegetable,South Asia
Onion (Powder),99,"Allium Vegetable, Spice",South Asia
Onion (Puree),1,Allium Vegetable,South Asia
Onion (Red),7,Allium Vegetable,South Asia
Onion (Toasted),7,Allium Vegetable,South Asia
Onion (Vidalia),7,Allium Vegetable,South Asia
Onion (Yellow),5,Allium Vegetable,South Asia
Onion Flakes,2,"Allium Vegetable, Spice",South Asia
Onions (Brown),4,Allium Vegetable,South Asia
Onions (Dehydrated),3,Allium Vegetable,South Asia
Onions (Smoked),7,Allium Vegetable,South Asia
Orange,7,Fruit,East Asia
Orange Base,0,Fruit,
Orange Blossom Honey,1,Fruit,Southwest Europe
Orange Extract,2,Fruit,East Asia
Orange Juice,22,Fruit,East Asia
Orange Juice (Sour),1,Fruit,East Asia
Orange Juice Concentrate,8,Fruit,East Asia
Orange Marmalade,2,Fruit,East Asia
Orange Peels,3,Fruit,East Asia
Orange Pulp,2,Fruit,East Asia
Orange Zest,5,Fruit,East Asia
Oregano,24,Herb,Southeast Europe
Organic Alcohol,8,Alcohol,East Asia
Organic Applesauce,1,Fruit,
Organic Cane Sugar,4,Sugar,Southeast Asia
Organic Carrots,6,Vegetable,
Organic Fruit,1,Fruit,
Organic Juice,1,Fruit,
Organic Mustard Seed,1,Spice,South & East Mediterranean
